업소명,평점,메뉴,전화번호,주소
제주시새우리,0.0,"딱새우김밥, 간장새우김밥, 양념새우컵밥, 딱새우꼬막무침, 한라봉에이드",064-900-2527,제주특별자치도 제주시 무근성7길 21
안양돈까스 제주시점,3.4,"돈까스 세트, 치즈돈까스 세트",064-799-1434,제주특별자치도 제주시 애월읍 애월로 40
올래국수,3.8,고기국수,064-742-7355,제주특별자치도 제주시 귀아랑길 24
명진전복,3.8,"전복죽, 전복돌솥밥, 전복구이, 전복회",064-782-9944,제주특별자치도 제주시 구좌읍 해맞이해안로 1282
삼성혈해물탕,3.9,"해물탕(특대), 해물탕(대), 해물탕(중), 해물탕(소), 전복회(소)",064-745-3000,제주특별자치도 제주시 선덕로5길 20
자매국수,3.9,"멸치국수, 고기국수, 비빔국수, 멸/고기국수, 아강발(미니족박), 콩국수",064-746-2222,제주특별자치도 제주시 탑동로11길 6 
해녀촌,3.7,"회국수, 성게국수, 소라국수",064-783-5438,제주특별자치도 제주시 구좌읍 동복로 33
순옥이네명가,3.8,"소라, 성게, 한치물회, 순옥이네물회, 전복물회",064-743-4813,제주특별자치도 제주시 도공로 8
은희네해장국,3.9,"소고기해장국, 해장국, 내장탕",064-726-5622,
삼대국수회관 본점,3.9,"고기국수, 비빔국수, 돔베고기 세트, 물만두 세트",064-759-6645,제주특별자치도 제주시 삼성로 41
다가미,4.1,"다가미김밥, 소고기롤, 단호박 샌드위치, 참치로얄, 매운 멸치쌈",064-758-5810,제주특별자치도 제주시 도남로 111
보엠,4.2,버터프레첼,064-711-9990,제주특별자치도 제주시 원노형로 102
